rowid,pl_letter,pl_pnum,pl_orbper,pl_bmassj,pl_radj,pl_ttvflag,ra,dec,st_optmag,st_teff,st_mass,st_rad
3069,b,2,88.40655258,,0.376,FALSE,288.971662,44.624531,12.16,5416,0.95,0.99
3070,c,2,9.10967112,,0.106,FALSE,288.971662,44.624531,12.16,5416,0.95,0.99
3071,b,1,16.78176602,,0.207,FALSE,295.859378,47.93951,12.971,4990,0.82,0.76
3072,b,1,14.53244172,,0.279,FALSE,288.471458,40.269795,14.625,5350,0.89,0.84
3073,b,1,5.24867263,,0.268,FALSE,292.530806,49.061707,13.345,6040,1.1,1.15
3074,b,1,5.90741354,,0.491,FALSE,290.156346,48.818996,15.625,4963,0.81,0.75
3075,b,1,9.7678805,,0.184,FALSE,287.256685,46.066769,13.766,5421,0.91,0.86
3076,b,1,14.80074836,,0.391,FALSE,292.171168,40.811382,12.538,7005,1.6,2.01
3077,b,1,16.2385,0.027,0.238,FALSE,297.069643,40.525141,10.297,5690,1,1.02
3078,b,1,3.12686223,,0.204,FALSE,281.457163,46.746468,13.884,4755,0.77,0.72
3079,b,1,16.87727414,,0.227,FALSE,282.035496,43.631268,14.101,5582,0.96,0.9
3080,b,1,12.05707239,,0.176,FALSE,295.313145,46.237488,13.576,5478,0.93,0.86
